Driver ID,Trip Date,Trip Fare,City,Vehicle Type
D0003,2022-06-30,10973.51,Abuja,Tricycle
D0003,2023-07-25,13688.55,Kano,Tricycle
D0003,2023-10-24,2029.95,Kano,Bike
D0003,2023-11-19,3105.06,Lagos,Bike
D0004,2021-02-06,14453.9,Lagos,Tricycle
D0004,2021-03-05,13317.97,Ibadan,Car
D0004,2021-04-03,667.13,Port Harcourt,Tricycle
D0004,2021-06-13,2253.93,Lagos,Tricycle
D0004,2021-09-05,5683.94,Port Harcourt,Car
D0004,2021-09-23,11839.03,Port Harcourt,Tricycle
D0004,2021-10-23,7530.45,Port Harcourt,Tricycle
D0004,2021-11-04,7221.44,Port Harcourt,Bike
D0004,2022-02-09,6144.36,Lagos,Tricycle
D0004,2022-04-29,13577.78,Kano,Tricycle
D0004,2022-05-10,2880.68,Abuja,Bike
D0004,2022-06-04,1566.67,Port Harcourt,Bike
D0004,2022-06-18,7052.1,Abuja,Bike
D0004,2022-08-16,9753.03,Kano,Bike
D0004,2022-12-23,8011.22,Kano,Tricycle
D0004,2023-07-19,13416.95,Port Harcourt,Tricycle
D0004,2023-09-01,10404.51,Kano,Bike
D0004,2023-12-07,12737.91,Lagos,Bike
D0005,2021-04-09,2075.9,Port Harcourt,Car
D0005,2021-09-27,12300.52,Lagos,Tricycle
D0005,2022-01-26,2467.09,Kano,Car
D0005,2022-04-02,11706.67,Kano,Bike
D0005,2022-08-05,5514.51,Kano,Tricycle
D0005,2022-08-11,3088.54,Ibadan,Bike
D0005,2022-10-31,10847.31,Kano,Tricycle
D0005,2022-11-21,1241.9,Ibadan,Bike
D0005,2022-12-30,2779.92,Lagos,Car
D0005,2023-07-23,5205.35,Kano,Tricycle
D0005,2023-11-07,9191.74,Lagos,Tricycle
D0006,2021-01-26,5462.85,Lagos,Tricycle
D0006,2021-03-26,4025.31,Ibadan,Bike
D0006,2021-04-28,6433.15,Kano,Tricycle
D0006,2021-05-21,7312.16,Lagos,Bike
D0006,2021-08-02,14342.25,Lagos,Bike
D0006,2021-08-05,1136.62,Port Harcourt,Bike
D0006,2021-08-18,975.97,Ibadan,Tricycle
D0006,2021-09-01,2617.25,Lagos,Bike
D0006,2021-11-19,13861.14,Abuja,Bike
D0006,2022-01-19,7412.93,Port Harcourt,Bike
D0006,2022-02-26,9820.63,Port Harcourt,Tricycle
D0006,2022-03-30,3254.05,Abuja,Tricycle
D0006,2022-07-25,13238.7,Abuja,Tricycle
D0006,2022-08-14,8784.42,Abuja,Tricycle
D0006,2022-09-04,11911.15,Port Harcourt,Bike
D0006,2022-12-30,10792.17,Lagos,Tricycle
D0006,2023-02-28,3983.55,Kano,Tricycle
D0006,2023-05-02,13735.61,Lagos,Bike
D0006,2023-06-22,7894.78,Port Harcourt,Car
D0006,2023-10-15,8636.68,Lagos,Car
D0007,2021-01-22,13201.03,Port Harcourt,Tricycle
D0007,2021-01-22,1345.31,Abuja,Bike
D0007,2021-05-09,3525.45,Abuja,Bike
D0007,2021-05-15,8985.32,Port Harcourt,Bike
D0007,2021-06-13,10205.07,Abuja,Bike
D0007,2021-12-28,2400.66,Port Harcourt,Bike
D0007,2022-04-16,5220.93,Port Harcourt,Tricycle
D0007,2022-05-07,14752.73,Lagos,Car
D0007,2022-05-10,5649.41,Abuja,Bike
D0007,2022-10-19,1942.7,Abuja,Tricycle
D0007,2023-01-09,2291.8,Ibadan,Bike
D0007,2023-07-28,9287.22,Abuja,Tricycle
D0007,2023-10-06,2316.14,Kano,Car
D0007,2023-11-21,952.6,Ibadan,Bike
D0008,2021-01-07,12126.48,Abuja,Tricycle
D0008,2021-03-24,13840.55,Kano,Tricycle
D0008,2021-05-21,8537.68,Ibadan,Tricycle
D0008,2021-07-02,11722.07,Lagos,Car
D0008,2021-07-17,6536.13,Lagos,Tricycle
D0008,2021-08-12,2129.55,Lagos,Tricycle
D0008,2021-09-01,3877.08,Abuja,Bike
D0008,2021-09-18,6632.68,Abuja,Tricycle
D0008,2021-10-30,6890.95,Abuja,Bike
D0008,2021-11-15,7039.3,Abuja,Tricycle
D0008,2022-02-23,7246.52,Port Harcourt,Car
D0008,2022-04-05,1911.82,Lagos,Bike
D0008,2022-05-17,4717.71,Lagos,Car
D0008,2022-07-14,3326.89,Port Harcourt,Bike
D0008,2022-10-11,867.55,Port Harcourt,Car
D0008,2022-11-16,10089.47,Kano,Car
D0008,2023-02-15,2144.11,Ibadan,Tricycle
D0008,2023-05-17,1032.34,Port Harcourt,Tricycle
D0008,2023-05-17,6426.14,Lagos,Bike
D0008,2023-06-30,10697.56,Port Harcourt,Tricycle
D0009,2021-02-10,5149.61,Kano,Tricycle
D0009,2021-02-16,5737.63,Port Harcourt,Bike
D0009,2021-04-08,2840.99,Port Harcourt,Tricycle
D0009,2021-12-22,1702.26,Abuja,Tricycle
D0009,2022-10-02,5357.62,Abuja,Car
D0009,2022-11-29,12258.56,Port Harcourt,Car
D0009,2022-12-04,7533.56,Lagos,Bike
D0009,2023-02-19,9021.7,Kano,Bike
D0009,2023-03-15,13485.56,Kano,Bike
D0009,2023-05-22,14838.19,Kano,Bike
D0009,2023-07-18,3791.19,Ibadan,Bike
D0009,2023-09-05,8333.15,Ibadan,Bike
D0009,2023-09-19,3383.01,Kano,Bike
D0009,2023-11-06,1081.0,Kano,Tricycle
D0009,2023-11-28,11080.34,Ibadan,Bike
D0009,2023-12-09,4476.09,Ibadan,Bike
D0009,2023-12-10,14030.14,Abuja,Car
D0009,2023-12-13,8041.2,Ibadan,Bike
D0009,2023-12-30,14034.49,Kano,Tricycle
D0010,2021-01-14,5814.99,Abuja,Bike
D0010,2021-04-23,2767.25,Abuja,Tricycle
D0010,2021-05-05,8777.37,Abuja,Bike
D0010,2021-06-24,963.92,Kano,Tricycle
D0010,2021-06-28,11270.91,Ibadan,Bike
D0010,2021-07-07,500.77,Abuja,Tricycle
D0010,2021-07-31,14936.26,Lagos,Car
D0010,2021-08-13,10684.78,Lagos,Car
D0010,2021-11-20,10921.14,Lagos,Bike
D0010,2022-01-05,11308.27,Ibadan,Bike
D0010,2022-01-22,14264.58,Port Harcourt,Tricycle
D0010,2022-03-25,13278.81,Port Harcourt,Bike
D0010,2022-05-09,12537.94,Lagos,Bike
D0010,2022-06-24,12399.3,Port Harcourt,Bike
D0010,2022-08-03,11334.76,Lagos,Bike
D0010,2022-11-25,11990.62,Port Harcourt,Car
D0010,2023-02-22,10779.05,Ibadan,Bike
D0010,2023-03-28,12402.31,Abuja,Car
D0010,2023-06-22,5474.14,Port Harcourt,Car
D0010,2023-06-25,3756.44,Ibadan,Car
D0010,2023-09-07,9538.06,Abuja,Tricycle
D0010,2023-09-20,5607.35,Ibadan,Bike
D0010,2023-10-06,10123.71,Abuja,Car
D0011,2021-05-02,11278.62,Port Harcourt,Tricycle
D0011,2021-07-10,9897.48,Kano,Tricycle
D0011,2022-11-03,1146.53,Abuja,Car
D0011,2023-05-31,11664.62,Kano,Bike
D0011,2023-06-13,5475.17,Abuja,Bike
D0011,2023-10-21,12188.4,Lagos,Car
D0012,2021-08-01,6495.25,Ibadan,Car
D0012,2021-09-04,1257.9,Kano,Tricycle
D0012,2021-10-22,10156.23,Abuja,Tricycle
D0012,2021-11-20,12416.67,Kano,Bike
D0012,2021-12-04,1026.94,Kano,Tricycle
D0012,2022-08-06,7891.16,Lagos,Tricycle
D0012,2022-09-30,5776.54,Ibadan,Car
D0012,2022-11-01,2031.93,Lagos,Tricycle
D0012,2022-11-27,10153.87,Port Harcourt,Bike
D0012,2022-12-11,13680.58,Kano,Bike
D0012,2023-01-24,13248.46,Lagos,Tricycle
D0012,2023-05-19,10620.86,Kano,Bike
D0012,2023-09-26,4237.45,Port Harcourt,Car
D0012,2023-10-17,10955.29,Ibadan,Bike
D0012,2023-12-19,3624.21,Port Harcourt,Bike
D0013,2021-02-12,6556.77,Lagos,Tricycle
D0013,2021-03-14,859.85,Lagos,Car
D0013,2021-03-16,8777.38,Kano,Tricycle
D0013,2021-04-02,14184.61,Abuja,Bike
D0013,2021-07-22,3842.18,Lagos,Tricycle
D0013,2021-08-14,11780.78,Port Harcourt,Bike
D0013,2021-08-15,621.14,Kano,Bike
D0013,2021-08-22,7795.44,Lagos,Car
D0013,2021-10-13,10233.91,Port Harcourt,Car
D0013,2021-12-03,4090.66,Port Harcourt,Car
D0013,2022-01-17,10863.18,Ibadan,Bike
D0013,2022-04-21,1793.72,Ibadan,Car
D0013,2022-06-24,12483.74,Ibadan,Car
D0013,2022-07-23,5769.36,Port Harcourt,Car
D0013,2022-09-19,10503.49,Ibadan,Tricycle
D0013,2023-01-06,8290.5,Kano,Bike
D0013,2023-04-05,10226.09,Port Harcourt,Tricycle
D0013,2023-04-24,5991.2,Port Harcourt,Bike
D0013,2023-10-17,14933.61,Ibadan,Tricycle
D0014,2021-04-26,4197.55,Lagos,Bike
D0014,2021-05-22,7504.46,Lagos,Bike
D0014,2021-06-19,3309.94,Port Harcourt,Bike
D0014,2021-07-07,12509.08,Abuja,Tricycle
D0014,2021-09-17,11340.95,Port Harcourt,Bike
D0014,2021-11-17,2910.7,Port Harcourt,Bike
D0014,2021-12-27,11779.23,Ibadan,Bike
D0014,2022-02-19,6328.3,Kano,Bike
D0014,2022-02-20,11453.84,Ibadan,Bike
D0014,2022-03-21,7476.32,Port Harcourt,Car
D0014,2022-05-29,10939.41,Lagos,Car
D0014,2022-11-21,9350.26,Abuja,Tricycle
D0014,2022-12-15,10314.65,Abuja,Car
D0014,2022-12-16,6971.73,Lagos,Tricycle
D0014,2023-04-05,1421.27,Abuja,Tricycle
D0014,2023-04-14,11552.07,Ibadan,Car
D0014,2023-05-20,10332.78,Port Harcourt,Tricycle
D0014,2023-06-03,2034.05,Lagos,Car
D0014,2023-08-01,1745.7,Lagos,Bike
D0014,2023-08-26,3226.85,Lagos,Car
D0014,2023-09-06,9108.73,Lagos,Car
D0014,2023-09-13,13024.95,Abuja,Car
D0015,2021-01-08,6351.46,Lagos,Car
D0015,2021-02-16,8940.02,Kano,Car
D0015,2021-04-01,7818.72,Lagos,Car
D0015,2021-05-14,11172.25,Ibadan,Bike
D0015,2021-06-01,6228.27,Kano,Bike
D0015,2021-06-20,11349.46,Abuja,Car
D0015,2021-09-22,12341.5,Kano,Car
D0015,2021-10-05,12582.48,Port Harcourt,Bike
D0015,2021-11-16,5831.77,Abuja,Tricycle
D0015,2022-01-30,9037.75,Lagos,Bike
D0015,2022-04-05,1966.9,Abuja,Tricycle
D0015,2022-04-21,13763.87,Lagos,Tricycle
D0015,2022-07-11,10206.47,Kano,Tricycle
D0015,2022-07-12,632.9,Ibadan,Car
D0015,2022-07-13,4174.27,Lagos,Tricycle
D0015,2022-07-22,2967.07,Port Harcourt,Car
D0015,2022-08-08,6925.35,Abuja,Car
D0015,2022-08-30,6716.51,Abuja,Bike
D0015,2022-10-02,2203.4,Ibadan,Tricycle
D0015,2022-10-16,5339.76,Kano,Bike
D0015,2023-03-01,8364.61,Ibadan,Car
D0015,2023-03-03,3271.03,Port Harcourt,Tricycle
D0015,2023-05-27,2171.87,Port Harcourt,Car
D0015,2023-06-11,7116.59,Port Harcourt,Tricycle
D0015,2023-08-23,4656.58,Lagos,Car
D0015,2023-09-08,6740.02,Ibadan,Tricycle
D0015,2023-09-14,14299.68,Kano,Tricycle
D0015,2023-09-29,10236.92,Abuja,Tricycle
D0015,2023-11-02,14111.43,Kano,Tricycle
D0016,2021-01-05,9511.23,Abuja,Tricycle
D0016,2021-05-29,9587.92,Port Harcourt,Tricycle
D0016,2021-06-02,3203.09,Port Harcourt,Bike
D0016,2021-06-20,14085.76,Kano,Car
D0016,2021-06-30,2773.06,Lagos,Tricycle
D0016,2021-07-09,5872.13,Port Harcourt,Car
D0016,2021-08-16,1553.65,Lagos,Car
D0016,2021-10-10,7613.9,Lagos,Tricycle
D0016,2022-01-18,1949.01,Kano,Bike
D0016,2022-03-08,13818.56,Lagos,Tricycle
D0016,2022-05-08,4093.28,Abuja,Tricycle
D0016,2022-06-13,5100.26,Abuja,Bike
D0016,2022-06-26,4668.91,Ibadan,Tricycle
D0016,2022-09-20,10076.81,Kano,Bike
D0016,2022-11-18,1938.95,Port Harcourt,Bike
D0016,2023-02-19,5608.74,Abuja,Tricycle
D0016,2023-03-13,2843.75,Port Harcourt,Bike
D0016,2023-04-08,12695.89,Lagos,Tricycle
D0016,2023-04-20,12464.46,Abuja,Tricycle
D0016,2023-05-21,2147.87,Ibadan,Bike
D0017,2021-01-11,9532.83,Kano,Car
D0017,2021-05-09,14638.76,Kano,Bike
D0017,2021-06-05,7677.25,Abuja,Car
D0017,2021-06-08,10206.09,Kano,Bike
D0017,2021-11-07,6919.06,Kano,Car
D0017,2021-11-27,11781.67,Ibadan,Tricycle
D0017,2022-03-05,1435.11,Abuja,Car
D0017,2022-03-31,13850.97,Abuja,Bike
D0017,2022-06-18,10054.67,Kano,Tricycle
D0017,2022-08-16,10775.81,Port Harcourt,Tricycle
D0017,2023-03-03,6351.04,Lagos,Bike
D0017,2023-07-12,3728.41,Lagos,Tricycle
D0017,2023-07-29,2127.5,Port Harcourt,Tricycle
D0017,2023-08-15,4581.42,Kano,Bike
D0017,2023-09-11,1802.47,Port Harcourt,Tricycle
D0017,2023-10-06,12778.38,Lagos,Bike
D0017,2023-11-03,6429.44,Abuja,Bike
D0017,2023-12-28,9081.21,Kano,Car
D0018,2021-01-21,1634.98,Port Harcourt,Bike
D0018,2021-03-06,14080.27,Lagos,Tricycle
D0018,2021-05-15,14356.92,Abuja,Car
D0018,2021-05-24,6125.6,Kano,Tricycle
D0018,2021-12-29,13145.54,Kano,Tricycle
D0018,2022-02-12,5384.29,Kano,Tricycle
D0018,2022-03-18,9342.29,Port Harcourt,Bike
D0018,2022-04-08,3657.82,Lagos,Bike
D0018,2022-08-14,5343.66,Port Harcourt,Tricycle
D0018,2022-08-27,7326.84,Port Harcourt,Tricycle
D0018,2022-10-08,6847.59,Kano,Car
D0018,2022-10-15,2004.73,Ibadan,Car
D0018,2022-10-30,4928.5,Abuja,Car
D0018,2023-01-16,5786.21,Ibadan,Tricycle
D0018,2023-01-23,14235.95,Lagos,Bike
D0018,2023-05-26,6209.45,Port Harcourt,Tricycle
D0018,2023-07-05,5185.61,Ibadan,Tricycle
D0018,2023-07-13,2561.63,Abuja,Tricycle
D0018,2023-09-16,8016.3,Port Harcourt,Tricycle
D0019,2021-02-11,10456.84,Lagos,Car
D0019,2021-03-13,4428.18,Abuja,Bike
D0019,2021-04-30,7536.57,Ibadan,Bike
D0019,2021-06-03,11351.44,Ibadan,Car
D0019,2021-08-06,5018.97,Ibadan,Car
D0019,2021-09-28,11603.87,Abuja,Tricycle
D0019,2022-02-07,7806.39,Kano,Car
D0019,2022-04-10,5325.87,Abuja,Tricycle
D0019,2022-09-03,12070.18,Ibadan,Car
D0019,2022-10-05,14441.75,Abuja,Bike
D0019,2022-10-28,5276.54,Lagos,Car
D0019,2023-04-30,10904.64,Abuja,Tricycle
D0019,2023-08-01,14023.4,Lagos,Car
D0019,2023-08-20,8616.3,Port Harcourt,Tricycle
D0019,2023-09-14,14040.95,Kano,Car
D0019,2023-10-14,5971.55,Ibadan,Bike
D0019,2023-10-30,14956.36,Ibadan,Bike
D0019,2023-12-25,8869.21,Kano,Car
D0020,2021-02-17,5917.93,Ibadan,Car
D0020,2021-06-10,13686.93,Kano,Tricycle
D0020,2021-09-15,5111.57,Abuja,Car
D0020,2021-10-05,1557.03,Port Harcourt,Tricycle
D0020,2022-01-10,6224.24,Port Harcourt,Bike
D0020,2022-03-04,4402.24,Lagos,Tricycle
D0020,2022-07-28,9764.96,Lagos,Car
D0020,2022-08-16,9436.22,Abuja,Tricycle
D0020,2022-10-30,12255.59,Lagos,Car
D0020,2022-12-02,11867.59,Ibadan,Tricycle
D0020,2023-12-01,12706.23,Lagos,Tricycle
D0021,2021-03-31,7379.31,Kano,Car
D0021,2021-04-24,5055.35,Abuja,Bike
D0021,2021-07-15,6138.35,Abuja,Tricycle
D0021,2021-08-15,1744.02,Lagos,Car
D0021,2021-09-12,10770.7,Abuja,Tricycle
D0021,2021-10-27,11929.99,Port Harcourt,Car
D0021,2022-02-11,3931.18,Port Harcourt,Tricycle
D0021,2022-04-05,6685.58,Lagos,Car
D0021,2022-07-25,13662.54,Lagos,Tricycle
D0021,2022-12-15,6934.86,Abuja,Tricycle
D0021,2023-01-26,13582.56,Lagos,Tricycle
D0021,2023-02-07,7693.09,Port Harcourt,Car
D0021,2023-02-13,14026.58,Port Harcourt,Tricycle
D0021,2023-03-01,4675.04,Ibadan,Tricycle
D0021,2023-04-02,8138.85,Lagos,Tricycle
D0021,2023-05-01,1149.14,Kano,Car
D0021,2023-06-10,10791.19,Lagos,Tricycle
D0021,2023-06-17,3235.17,Ibadan,Tricycle
D0021,2023-06-30,1317.54,Ibadan,Car
D0021,2023-07-29,6009.42,Port Harcourt,Tricycle
D0021,2023-09-13,8693.55,Kano,Car
D0021,2023-10-02,8013.98,Port Harcourt,Tricycle
D0021,2023-10-10,6060.48,Ibadan,Tricycle
D0021,2023-11-10,5338.71,Port Harcourt,Car
D0022,2021-01-09,9536.55,Abuja,Tricycle
D0022,2021-01-12,5378.53,Abuja,Car
D0022,2021-06-08,8185.76,Kano,Car
D0022,2021-12-13,7778.07,Ibadan,Bike
D0022,2022-05-31,2186.81,Abuja,Car
D0022,2022-07-23,2542.59,Lagos,Bike
D0022,2022-10-28,1873.71,Abuja,Car
D0022,2023-01-28,1500.36,Abuja,Tricycle
D0022,2023-04-24,1580.4,Abuja,Tricycle
D0022,2023-04-29,8349.36,Kano,Tricycle
D0022,2023-06-10,6465.46,Port Harcourt,Tricycle
D0022,2023-07-18,4262.01,Lagos,Bike
D0022,2023-12-14,12175.03,Ibadan,Car
D0023,2021-01-09,11466.5,Port Harcourt,Bike
D0023,2021-02-06,9441.02,Abuja,Car
D0023,2021-03-03,14777.49,Lagos,Bike
D0023,2021-03-19,5625.36,Lagos,Car
D0023,2021-03-20,7850.49,Lagos,Car
D0023,2022-02-08,11171.33,Port Harcourt,Car
D0023,2022-04-10,7182.6,Ibadan,Tricycle
D0023,2022-04-21,652.44,Lagos,Tricycle
D0023,2022-08-12,3280.72,Port Harcourt,Tricycle
D0023,2022-11-03,12244.69,Abuja,Car
D0023,2022-12-12,9891.94,Kano,Bike
D0023,2023-02-12,3881.22,Port Harcourt,Car
D0023,2023-04-13,2591.48,Port Harcourt,Tricycle
D0023,2023-05-23,9836.67,Ibadan,Car
D0023,2023-06-12,9876.01,Kano,Car
D0023,2023-06-28,11810.7,Kano,Bike
D0023,2023-07-14,1735.41,Kano,Car
D0023,2023-11-06,1525.1,Lagos,Tricycle
D0023,2023-11-13,2609.97,Ibadan,Bike
D0024,2021-02-27,2583.47,Ibadan,Bike
D0024,2021-03-05,14013.19,Port Harcourt,Car
D0024,2021-08-21,14096.72,Lagos,Car
D0024,2021-09-19,5688.7,Port Harcourt,Bike
D0024,2021-10-03,13952.98,Lagos,Tricycle
D0024,2021-11-23,5204.35,Kano,Bike
D0024,2022-02-23,14476.78,Kano,Tricycle
D0024,2022-06-08,6534.33,Ibadan,Tricycle
D0024,2022-08-25,781.32,Lagos,Bike
D0024,2022-10-14,4890.13,Abuja,Tricycle
D0024,2022-11-16,10321.46,Port Harcourt,Bike
D0024,2023-01-03,7934.87,Kano,Bike
D0024,2023-04-29,1655.87,Lagos,Tricycle
D0024,2023-10-03,8178.24,Abuja,Bike
D0025,2021-01-15,14646.23,Abuja,Car
D0025,2021-05-26,4679.07,Port Harcourt,Car
D0025,2021-06-20,12639.68,Kano,Tricycle
D0025,2021-06-22,5839.63,Ibadan,Car
D0025,2021-12-25,11526.74,Port Harcourt,Tricycle
D0025,2022-01-19,9045.31,Port Harcourt,Bike
D0025,2022-01-28,2342.99,Ibadan,Car
D0025,2022-10-22,6603.0,Ibadan,Bike
D0025,2022-11-16,11253.75,Lagos,Bike
D0025,2023-05-10,7116.73,Kano,Tricycle
D0025,2023-05-27,10708.46,Abuja,Bike
D0025,2023-07-13,4622.18,Kano,Tricycle
D0025,2023-08-31,10474.53,Abuja,Tricycle
D0025,2023-09-03,2553.36,Port Harcourt,Bike
D0025,2023-10-04,2371.03,Abuja,Car
D0025,2023-11-07,14694.74,Abuja,Tricycle
D0025,2023-11-14,11296.75,Lagos,Car
D0025,2023-12-28,6295.93,Port Harcourt,Car
D0026,2021-02-27,583.67,Kano,Bike
D0026,2021-05-18,4490.26,Lagos,Tricycle
D0026,2021-08-30,6453.68,Lagos,Car
D0026,2021-09-25,5150.33,Abuja,Tricycle
D0026,2021-10-02,2914.81,Kano,Tricycle
D0026,2021-10-15,8958.33,Lagos,Bike
D0026,2021-11-04,1004.59,Lagos,Car
D0026,2022-01-19,10457.96,Ibadan,Car
D0026,2022-03-22,12648.7,Port Harcourt,Car
D0026,2022-12-11,12685.05,Abuja,Bike
D0026,2023-01-27,12480.15,Abuja,Bike
D0026,2023-06-19,7520.51,Lagos,Car
D0026,2023-07-31,6838.65,Port Harcourt,Bike
D0026,2023-08-09,9767.06,Abuja,Bike
D0026,2023-10-16,1328.42,Lagos,Bike
D0027,2021-01-21,14653.14,Abuja,Tricycle
D0027,2021-03-02,13070.65,Ibadan,Tricycle
D0027,2021-07-07,5967.28,Ibadan,Tricycle
D0027,2021-07-13,10124.15,Kano,Car
D0027,2021-11-24,2625.91,Abuja,Bike
D0027,2022-01-23,13626.84,Port Harcourt,Tricycle
D0027,2022-01-31,14063.22,Abuja,Car
D0027,2022-05-15,3119.53,Abuja,Bike
D0027,2022-07-15,5610.98,Port Harcourt,Car
D0027,2022-10-23,7702.78,Kano,Bike
D0027,2023-01-07,5625.42,Kano,Bike
D0027,2023-09-08,14945.26,Kano,Car
D0027,2023-09-28,5578.95,Abuja,Car
D0027,2023-12-20,9992.01,Ibadan,Tricycle
D0028,2021-05-06,9364.45,Lagos,Tricycle
D0028,2021-05-09,6725.18,Port Harcourt,Car
D0028,2021-05-27,1219.29,Kano,Car
D0028,2021-06-30,5430.06,Abuja,Tricycle
D0028,2021-07-04,7574.21,Abuja,Car
D0028,2021-07-14,4792.95,Port Harcourt,Bike
D0028,2021-10-01,6104.16,Abuja,Bike
D0028,2021-11-02,6471.86,Kano,Tricycle
D0028,2021-12-08,11254.42,Port Harcourt,Bike
D0028,2021-12-08,9644.21,Kano,Bike
D0028,2022-02-02,11597.09,Ibadan,Tricycle
D0028,2022-02-08,9105.7,Lagos,Tricycle
D0028,2022-03-10,2194.74,Lagos,Bike
D0028,2022-04-27,14499.01,Ibadan,Bike
D0028,2022-07-02,12750.53,Kano,Tricycle
D0028,2023-03-11,2868.64,Abuja,Car
D0028,2023-05-13,10919.75,Port Harcourt,Car
D0028,2023-09-05,6456.84,Kano,Car
D0028,2023-09-16,7086.93,Lagos,Tricycle
D0028,2023-12-04,4912.46,Abuja,Bike
D0028,2023-12-06,8753.49,Kano,Bike
D0028,2023-12-18,2936.29,Lagos,Bike
D0029,2021-04-14,4575.57,Ibadan,Bike
D0029,2021-09-27,8534.44,Ibadan,Tricycle
D0029,2022-02-09,6711.1,Port Harcourt,Tricycle
D0029,2022-10-08,9867.68,Lagos,Bike
D0029,2022-10-19,9091.16,Kano,Car
D0029,2022-11-16,8684.04,Lagos,Car
D0029,2022-12-29,6458.53,Ibadan,Bike
D0029,2023-04-18,13594.91,Kano,Car
D0029,2023-05-23,5765.42,Abuja,Car
D0029,2023-06-10,10273.02,Ibadan,Tricycle
D0029,2023-07-27,10824.12,Ibadan,Tricycle
D0030,2021-01-02,3535.55,Lagos,Bike
D0030,2021-01-19,7171.49,Abuja,Tricycle
D0030,2021-02-12,2366.94,Ibadan,Bike
D0030,2021-04-02,5145.82,Lagos,Car
D0030,2021-04-13,9390.97,Kano,Bike
D0030,2021-05-23,12132.97,Port Harcourt,Bike
D0030,2021-05-23,12086.69,Lagos,Car
D0030,2021-05-27,5218.57,Port Harcourt,Bike
D0030,2021-11-10,14678.88,Lagos,Tricycle
D0030,2021-12-29,11120.59,Ibadan,Car
D0030,2022-01-30,6392.31,Ibadan,Bike
D0030,2022-02-18,2193.66,Kano,Tricycle
D0030,2022-03-05,8891.97,Ibadan,Bike
D0030,2022-04-05,8113.22,Lagos,Tricycle
D0030,2022-08-24,10146.46,Kano,Car
D0030,2022-10-23,14942.19,Abuja,Car
D0030,2022-11-14,5332.01,Kano,Car
D0030,2023-02-19,7821.53,Abuja,Tricycle
D0030,2023-07-31,6782.14,Abuja,Car
D0030,2023-08-10,14459.62,Kano,Tricycle
D0030,2023-12-27,3210.16,Ibadan,Bike
D0031,2021-03-26,13923.93,Abuja,Car
D0031,2021-04-16,7891.03,Abuja,Bike
D0031,2021-06-22,6922.25,Abuja,Car
D0031,2021-07-28,14201.74,Port Harcourt,Bike
D0031,2021-07-30,2683.86,Port Harcourt,Car
D0031,2021-08-04,11348.35,Port Harcourt,Bike
D0031,2021-09-28,3680.15,Port Harcourt,Tricycle
D0031,2021-10-01,3207.63,Ibadan,Car
D0031,2021-10-07,8532.9,Lagos,Car
D0031,2021-11-05,12623.14,Ibadan,Tricycle
D0031,2021-12-03,5542.67,Port Harcourt,Bike
D0031,2022-02-09,7552.4,Port Harcourt,Tricycle
D0031,2022-02-16,9246.72,Ibadan,Tricycle
D0031,2022-02-26,7082.4,Ibadan,Tricycle
D0031,2022-07-25,7003.04,Ibadan,Car
D0031,2022-08-12,14017.87,Lagos,Car
D0031,2022-12-01,10777.1,Kano,Tricycle
D0031,2022-12-08,1848.75,Lagos,Tricycle
D0031,2022-12-17,9061.18,Ibadan,Car
D0031,2023-01-10,13609.65,Port Harcourt,Car
